Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
1538,1020,0.001,627,0,32,9,10.953,6.805,0,0.046,0,0,0.003,0,0.125,0.003,0.008,0.01,0,0.064,0.002,0.002,0.003
3918,2106,0,423,0,36,12,12.579,4.518,0,0.211,0.001,0.004,0.011,0,0.125,0.066,0.062,0.027,0,0.035,0.001,0.001,0.001
278,180,0.008,48,0,23,8,8.579,3.715,0,0.203,0.009,0.024,0.035,0,0.13,0.079,0.068,0.036,0,0.055,0.016,0.017,0.007
26946,11912,0,541,0,39,10,10.052,3.62,0,0.561,0,0,0.007,0,0.207,0.098,0.1,0.031,0,0.145,0,0,0.002
3865,1707,0.001,205,0,39,9,9.485,3.155,0,0.185,0.001,0.004,0.013,0,0.156,0.095,0.089,0.028,0,0.038,0.002,0.002,0.003
1966,997,0.001,92,0,39,11,11.891,4.818,0,0.23,0.003,0.009,0.019,0,0.134,0.078,0.072,0.027,0,0.052,0.003,0.003,0.003
22555,11185,0,2137,0,51,13,13.423,4.619,0,0.144,0,0,0.003,0,0.115,0.064,0.056,0.027,0,0.022,0,0,0
1665,743,0.003,93,0,28,9,8.741,2.95,0,0.233,0.002,0.008,0.022,0,0.169,0.102,0.094,0.033,0,0.086,0.005,0.006,0.006
1477,711,0.002,74,0,24,10,9.546,3.155,0,0.306,0.005,0.01,0.023,0,0.159,0.094,0.09,0.028,0,0.049,0.005,0.005,0.004
7040,3503,0,630,0,32,9,9.21,2.851,0,0.231,0,0.001,0.009,0,0.171,0.096,0.084,0.036,0,0.049,0,0.001,0.002
8900,3633,0,428,0,33,10,10.599,3.798,0,0.351,0,0.002,0.01,0,0.176,0.088,0.082,0.031,0,0.057,0.001,0.001,0.002
5476,2290,0.001,231,0,34,9,9.837,4.379,0,0.189,0,0.003,0.014,0,0.166,0.099,0.095,0.026,0,0.081,0.001,0.002,0.003
327,198,0.008,75,0,20,7,7.558,4.027,0,0.073,0.001,0.008,0.014,0,0.085,0.028,0.034,0.023,0,0.06,0.015,0.016,0.008
224,144,0.01,46,0,21,8,8.431,3.779,0,0.346,0.006,0.026,0.052,0,0.182,0.069,0.062,0.037,0,0.076,0.02,0.021,0.01
3554,1547,0.001,123,0,36,12,12.432,4.564,0,0.22,0.002,0.006,0.018,0,0.144,0.081,0.077,0.025,0,0.103,0.002,0.002,0.005
